"","datetime_est","datetime_utc","sun","sky_cover"
"1",2024-01-01,2024-01-01 05:00:00,0,8
"2",2024-01-01 01:00:00,2024-01-01 06:00:00,0,8
"3",2024-01-01 02:00:00,2024-01-01 07:00:00,0,8
"4",2024-01-01 03:00:00,2024-01-01 08:00:00,0,8
"5",2024-01-01 04:00:00,2024-01-01 09:00:00,0,8
"6",2024-01-01 05:00:00,2024-01-01 10:00:00,0,8
"7",2024-01-01 06:00:00,2024-01-01 11:00:00,0,8
"8",2024-01-01 07:00:00,2024-01-01 12:00:00,0,8
"9",2024-01-01 08:00:00,2024-01-01 13:00:00,0,8
"10",2024-01-01 09:00:00,2024-01-01 14:00:00,1,8
"11",2024-01-01 10:00:00,2024-01-01 15:00:00,1,8
"12",2024-01-01 11:00:00,2024-01-01 16:00:00,1,8
"13",2024-01-01 12:00:00,2024-01-01 17:00:00,1,8
"14",2024-01-01 13:00:00,2024-01-01 18:00:00,1,8
"15",2024-01-01 14:00:00,2024-01-01 19:00:00,1,8
"16",2024-01-01 15:00:00,2024-01-01 20:00:00,1,8
"17",2024-01-01 16:00:00,2024-01-01 21:00:00,1,8
"18",2024-01-01 17:00:00,2024-01-01 22:00:00,1,8
"19",2024-01-01 18:00:00,2024-01-01 23:00:00,0,8
"20",2024-01-01 19:00:00,2024-01-02,0,8
"21",2024-01-01 20:00:00,2024-01-02 01:00:00,0,8
"22",2024-01-01 21:00:00,2024-01-02 02:00:00,0,8
"23",2024-01-01 22:00:00,2024-01-02 03:00:00,0,8
"24",2024-01-01 23:00:00,2024-01-02 04:00:00,0,8
"25",2024-01-02,2024-01-02 05:00:00,0,8
"26",2024-01-02 01:00:00,2024-01-02 06:00:00,0,8
"27",2024-01-02 02:00:00,2024-01-02 07:00:00,0,8
"28",2024-01-02 03:00:00,2024-01-02 08:00:00,0,8
"29",2024-01-02 04:00:00,2024-01-02 09:00:00,0,8
"30",2024-01-02 05:00:00,2024-01-02 10:00:00,0,8
"31",2024-01-02 06:00:00,2024-01-02 11:00:00,0,8
"32",2024-01-02 07:00:00,2024-01-02 12:00:00,0,8
"33",2024-01-02 08:00:00,2024-01-02 13:00:00,0,8
"34",2024-01-02 09:00:00,2024-01-02 14:00:00,1,8
"35",2024-01-02 10:00:00,2024-01-02 15:00:00,1,8
"36",2024-01-02 11:00:00,2024-01-02 16:00:00,1,8
"37",2024-01-02 12:00:00,2024-01-02 17:00:00,1,8
"38",2024-01-02 13:00:00,2024-01-02 18:00:00,1,8
"39",2024-01-02 14:00:00,2024-01-02 19:00:00,1,8
"40",2024-01-02 15:00:00,2024-01-02 20:00:00,1,7
"41",2024-01-02 16:00:00,2024-01-02 21:00:00,1,8
"42",2024-01-02 17:00:00,2024-01-02 22:00:00,1,8
"43",2024-01-02 18:00:00,2024-01-02 23:00:00,0,8
"44",2024-01-02 19:00:00,2024-01-03,0,7.5
"45",2024-01-02 20:00:00,2024-01-03 01:00:00,0,8
"46",2024-01-02 21:00:00,2024-01-03 02:00:00,0,8
"47",2024-01-02 22:00:00,2024-01-03 03:00:00,0,7
"48",2024-01-02 23:00:00,2024-01-03 04:00:00,0,7
"49",2024-01-03,2024-01-03 05:00:00,0,7
"50",2024-01-03 01:00:00,2024-01-03 06:00:00,0,2
"51",2024-01-03 02:00:00,2024-01-03 07:00:00,0,0
"52",2024-01-03 03:00:00,2024-01-03 08:00:00,0,2
"53",2024-01-03 04:00:00,2024-01-03 09:00:00,0,4
"54",2024-01-03 05:00:00,2024-01-03 10:00:00,0,4
"55",2024-01-03 06:00:00,2024-01-03 11:00:00,0,4
"56",2024-01-03 07:00:00,2024-01-03 12:00:00,0,2
"57",2024-01-03 08:00:00,2024-01-03 13:00:00,0,2
"58",2024-01-03 09:00:00,2024-01-03 14:00:00,1,2
"59",2024-01-03 10:00:00,2024-01-03 15:00:00,1,0
"60",2024-01-03 11:00:00,2024-01-03 16:00:00,1,0
"61",2024-01-03 12:00:00,2024-01-03 17:00:00,1,2
"62",2024-01-03 13:00:00,2024-01-03 18:00:00,1,2
"63",2024-01-03 14:00:00,2024-01-03 19:00:00,1,7
"64",2024-01-03 15:00:00,2024-01-03 20:00:00,1,8
"65",2024-01-03 16:00:00,2024-01-03 21:00:00,1,8
"66",2024-01-03 17:00:00,2024-01-03 22:00:00,1,8
"67",2024-01-03 18:00:00,2024-01-03 23:00:00,0,8
"68",2024-01-03 19:00:00,2024-01-04,0,8
"69",2024-01-03 20:00:00,2024-01-04 01:00:00,0,8
"70",2024-01-03 21:00:00,2024-01-04 02:00:00,0,8
"71",2024-01-03 22:00:00,2024-01-04 03:00:00,0,8
"72",2024-01-03 23:00:00,2024-01-04 04:00:00,0,8
"73",2024-01-04,2024-01-04 05:00:00,0,8
"74",2024-01-04 01:00:00,2024-01-04 06:00:00,0,8
"75",2024-01-04 02:00:00,2024-01-04 07:00:00,0,8
"76",2024-01-04 03:00:00,2024-01-04 08:00:00,0,8
"77",2024-01-04 04:00:00,2024-01-04 09:00:00,0,8
"78",2024-01-04 05:00:00,2024-01-04 10:00:00,0,8
"79",2024-01-04 06:00:00,2024-01-04 11:00:00,0,8
"80",2024-01-04 07:00:00,2024-01-04 12:00:00,0,8
"81",2024-01-04 08:00:00,2024-01-04 13:00:00,0,5.5
"82",2024-01-04 09:00:00,2024-01-04 14:00:00,1,8
"83",2024-01-04 10:00:00,2024-01-04 15:00:00,1,8
"84",2024-01-04 11:00:00,2024-01-04 16:00:00,1,8
"85",2024-01-04 12:00:00,2024-01-04 17:00:00,1,4.5
"86",2024-01-04 13:00:00,2024-01-04 18:00:00,1,2
"87",2024-01-04 14:00:00,2024-01-04 19:00:00,1,2
"88",2024-01-04 15:00:00,2024-01-04 20:00:00,1,2
"89",2024-01-04 16:00:00,2024-01-04 21:00:00,1,0
"90",2024-01-04 17:00:00,2024-01-04 22:00:00,1,0
"91",2024-01-04 18:00:00,2024-01-04 23:00:00,0,0
"92",2024-01-04 19:00:00,2024-01-05,0,0
"93",2024-01-04 20:00:00,2024-01-05 01:00:00,0,0
"94",2024-01-04 21:00:00,2024-01-05 02:00:00,0,0
"95",2024-01-04 22:00:00,2024-01-05 03:00:00,0,2
"96",2024-01-04 23:00:00,2024-01-05 04:00:00,0,0
"97",2024-01-05,2024-01-05 05:00:00,0,0
"98",2024-01-05 01:00:00,2024-01-05 06:00:00,0,2
"99",2024-01-05 02:00:00,2024-01-05 07:00:00,0,4
"100",2024-01-05 03:00:00,2024-01-05 08:00:00,0,7
"101",2024-01-05 04:00:00,2024-01-05 09:00:00,0,7
"102",2024-01-05 05:00:00,2024-01-05 10:00:00,0,7
"103",2024-01-05 06:00:00,2024-01-05 11:00:00,0,7
"104",2024-01-05 07:00:00,2024-01-05 12:00:00,0,7
"105",2024-01-05 08:00:00,2024-01-05 13:00:00,0,7
"106",2024-01-05 09:00:00,2024-01-05 14:00:00,1,7
"107",2024-01-05 10:00:00,2024-01-05 15:00:00,1,7
"108",2024-01-05 11:00:00,2024-01-05 16:00:00,1,7
"109",2024-01-05 12:00:00,2024-01-05 17:00:00,1,7
"110",2024-01-05 13:00:00,2024-01-05 18:00:00,1,7
"111",2024-01-05 14:00:00,2024-01-05 19:00:00,1,8
"112",2024-01-05 15:00:00,2024-01-05 20:00:00,1,8
"113",2024-01-05 16:00:00,2024-01-05 21:00:00,1,8
"114",2024-01-05 17:00:00,2024-01-05 22:00:00,1,8
"115",2024-01-05 18:00:00,2024-01-05 23:00:00,0,8
"116",2024-01-05 19:00:00,2024-01-06,0,8
"117",2024-01-05 20:00:00,2024-01-06 01:00:00,0,8
"118",2024-01-05 21:00:00,2024-01-06 02:00:00,0,8
"119",2024-01-05 22:00:00,2024-01-06 03:00:00,0,8
"120",2024-01-05 23:00:00,2024-01-06 04:00:00,0,8
"121",2024-01-06,2024-01-06 05:00:00,0,8
"122",2024-01-06 01:00:00,2024-01-06 06:00:00,0,8
"123",2024-01-06 02:00:00,2024-01-06 07:00:00,0,8
"124",2024-01-06 03:00:00,2024-01-06 08:00:00,0,8
"125",2024-01-06 04:00:00,2024-01-06 09:00:00,0,8
"126",2024-01-06 05:00:00,2024-01-06 10:00:00,0,8
"127",2024-01-06 06:00:00,2024-01-06 11:00:00,0,8
"128",2024-01-06 07:00:00,2024-01-06 12:00:00,0,8
"129",2024-01-06 08:00:00,2024-01-06 13:00:00,0,8
"130",2024-01-06 09:00:00,2024-01-06 14:00:00,1,8
"131",2024-01-06 10:00:00,2024-01-06 15:00:00,1,8
"132",2024-01-06 11:00:00,2024-01-06 16:00:00,1,8
"133",2024-01-06 12:00:00,2024-01-06 17:00:00,1,8
"134",2024-01-06 13:00:00,2024-01-06 18:00:00,1,8
"135",2024-01-06 14:00:00,2024-01-06 19:00:00,1,8
"136",2024-01-06 15:00:00,2024-01-06 20:00:00,1,8
"137",2024-01-06 16:00:00,2024-01-06 21:00:00,1,8
