"","datetime_local","datetime_utc","location","sun","sky_cover"
"1",2024-01-01,2024-01-01 05:00:00,"CVG",0,8
"2",2024-01-01 01:00:00,2024-01-01 06:00:00,"CVG",0,8
"3",2024-01-01 02:00:00,2024-01-01 07:00:00,"CVG",0,8
"4",2024-01-01 03:00:00,2024-01-01 08:00:00,"CVG",0,8
"5",2024-01-01 04:00:00,2024-01-01 09:00:00,"CVG",0,8
"6",2024-01-01 05:00:00,2024-01-01 10:00:00,"CVG",0,8
"7",2024-01-01 06:00:00,2024-01-01 11:00:00,"CVG",0,8
"8",2024-01-01 07:00:00,2024-01-01 12:00:00,"CVG",0,8
"9",2024-01-01 08:00:00,2024-01-01 13:00:00,"CVG",0,8
"10",2024-01-01 09:00:00,2024-01-01 14:00:00,"CVG",1,8
"11",2024-01-01 10:00:00,2024-01-01 15:00:00,"CVG",1,8
"12",2024-01-01 11:00:00,2024-01-01 16:00:00,"CVG",1,8
"13",2024-01-01 12:00:00,2024-01-01 17:00:00,"CVG",1,8
"14",2024-01-01 13:00:00,2024-01-01 18:00:00,"CVG",1,8
"15",2024-01-01 14:00:00,2024-01-01 19:00:00,"CVG",1,8
"16",2024-01-01 15:00:00,2024-01-01 20:00:00,"CVG",1,8
"17",2024-01-01 16:00:00,2024-01-01 21:00:00,"CVG",1,8
"18",2024-01-01 17:00:00,2024-01-01 22:00:00,"CVG",1,8
"19",2024-01-01 18:00:00,2024-01-01 23:00:00,"CVG",0,8
"20",2024-01-01 19:00:00,2024-01-02,"CVG",0,8
"21",2024-01-01 20:00:00,2024-01-02 01:00:00,"CVG",0,8
"22",2024-01-01 21:00:00,2024-01-02 02:00:00,"CVG",0,8
"23",2024-01-01 22:00:00,2024-01-02 03:00:00,"CVG",0,8
"24",2024-01-01 23:00:00,2024-01-02 04:00:00,"CVG",0,8
"25",2024-01-02,2024-01-02 05:00:00,"CVG",0,8
"26",2024-01-02 01:00:00,2024-01-02 06:00:00,"CVG",0,8
"27",2024-01-02 02:00:00,2024-01-02 07:00:00,"CVG",0,8
"28",2024-01-02 03:00:00,2024-01-02 08:00:00,"CVG",0,8
"29",2024-01-02 04:00:00,2024-01-02 09:00:00,"CVG",0,8
"30",2024-01-02 05:00:00,2024-01-02 10:00:00,"CVG",0,8
"31",2024-01-02 06:00:00,2024-01-02 11:00:00,"CVG",0,8
"32",2024-01-02 07:00:00,2024-01-02 12:00:00,"CVG",0,8
"33",2024-01-02 08:00:00,2024-01-02 13:00:00,"CVG",0,8
"34",2024-01-02 09:00:00,2024-01-02 14:00:00,"CVG",1,8
"35",2024-01-02 10:00:00,2024-01-02 15:00:00,"CVG",1,8
"36",2024-01-02 11:00:00,2024-01-02 16:00:00,"CVG",1,8
"37",2024-01-02 12:00:00,2024-01-02 17:00:00,"CVG",1,8
"38",2024-01-02 13:00:00,2024-01-02 18:00:00,"CVG",1,8
"39",2024-01-02 14:00:00,2024-01-02 19:00:00,"CVG",1,8
"40",2024-01-02 15:00:00,2024-01-02 20:00:00,"CVG",1,7
"41",2024-01-02 16:00:00,2024-01-02 21:00:00,"CVG",1,8
"42",2024-01-02 17:00:00,2024-01-02 22:00:00,"CVG",1,8
"43",2024-01-02 18:00:00,2024-01-02 23:00:00,"CVG",0,8
"44",2024-01-02 19:00:00,2024-01-03,"CVG",0,7.5
"45",2024-01-02 20:00:00,2024-01-03 01:00:00,"CVG",0,8
"46",2024-01-02 21:00:00,2024-01-03 02:00:00,"CVG",0,8
"47",2024-01-02 22:00:00,2024-01-03 03:00:00,"CVG",0,7
"48",2024-01-02 23:00:00,2024-01-03 04:00:00,"CVG",0,7
"49",2024-01-03,2024-01-03 05:00:00,"CVG",0,7
"50",2024-01-03 01:00:00,2024-01-03 06:00:00,"CVG",0,2
"51",2024-01-03 02:00:00,2024-01-03 07:00:00,"CVG",0,0
"52",2024-01-03 03:00:00,2024-01-03 08:00:00,"CVG",0,2
"53",2024-01-03 04:00:00,2024-01-03 09:00:00,"CVG",0,4
"54",2024-01-03 05:00:00,2024-01-03 10:00:00,"CVG",0,4
"55",2024-01-03 06:00:00,2024-01-03 11:00:00,"CVG",0,4
"56",2024-01-03 07:00:00,2024-01-03 12:00:00,"CVG",0,2
"57",2024-01-03 08:00:00,2024-01-03 13:00:00,"CVG",0,2
"58",2024-01-03 09:00:00,2024-01-03 14:00:00,"CVG",1,2
"59",2024-01-03 10:00:00,2024-01-03 15:00:00,"CVG",1,0
