CBSA,city,pollutant,trend_statistic,n_trend_sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
17140,"Cincinnati, OH-KY-IN",O3,4th Max,9,0.077,0.078,0.089,0.08,0.07,0.078,0.072,0.079,0.07,0.065,0.071,0.08,0.083,0.067,0.069,0.069,0.073,0.069,0.073,0.068,0.067,0.066,0.067,0.072
17140,"Cincinnati, OH-KY-IN",PM10,2nd Max,2,68.5,62,56,43,49.3,52.2,51.5,48.5,43,45,55.5,44.5,42.5,37.5,41,44.5,44,36.5,37.5,37,41,39,45,60
17140,"Cincinnati, OH-KY-IN",PM2.5,Weighted Annual Mean,4,17.4,17,16.3,16.2,15.3,18.6,14.5,15.6,14,13.2,14,12.8,11.3,11.1,10.9,9.8,9.3,8.9,9.3,9.1,9,9.8,8.4,9.9
17140,"Cincinnati, OH-KY-IN",PM2.5,98th Percentile,4,42,43,39,35,34,43,34,35,29,27,32,29,23,25,24,22,20,19,20,21,20,23,19,28
40900,"Sacramento--Roseville--Arden-Arcade, CA",CO,2nd Max,1,4.6,5,3.5,3.8,2.8,3.3,3,2.8,2.1,2.2,1.5,2.2,1.8,2.1,1.7,1.9,1.8,1.6,3.3,1.2,2,1.1,1.1,1.1
40900,"Sacramento--Roseville--Arden-Arcade, CA",NO2,Annual Mean,5,12,11,12,11,10,10,10,10,9,8,7,8,7,7,6,6,5,5,4,4,4,4,4,4
40900,"Sacramento--Roseville--Arden-Arcade, CA",NO2,98th Percentile,2,54,57,59,56,48,48,50,46,48,41,44,42,42,42,38,35,34,33,35,33,31,27,27,27
40900,"Sacramento--Roseville--Arden-Arcade, CA",O3,4th Max,12,0.088,0.088,0.092,0.089,0.079,0.087,0.091,0.08,0.089,0.083,0.077,0.077,0.082,0.071,0.074,0.074,0.077,0.073,0.076,0.067,0.073,0.074,0.068,0.068
40900,"Sacramento--Roseville--Arden-Arcade, CA",PM10,2nd Max,4,64,65.3,60.3,49,68,60.5,63.8,58.5,74.5,42.8,42.5,49,35.3,50.5,36.3,39.6,36.8,62.3,162.8,54,119.5,50.3,47.3,46.5
40900,"Sacramento--Roseville--Arden-Arcade, CA",PM2.5,Weighted Annual Mean,3,11.6,11.3,12.7,10,10.4,9.8,10.7,9.5,10.2,8.5,6.8,8.7,7.1,8.4,7.5,8.5,7,8.4,12.1,7.4,11.6,9.9,8.2,7.3
40900,"Sacramento--Roseville--Arden-Arcade, CA",PM2.5,98th Percentile,3,43,46,45,31,33,33,37,37,32,25,22,31,17,25,19,24,19,31,65,24,46,31,27,22
